day,numbers,dayoff,work,outsidework,workfhome,dinner_t,Month,Date,bobd,soupd,maind,present
3,2601,50,150,238,0.0,331.0,02,01,65,223,340,2163
4,2601,50,173,319,0.0,560.0,02,02,109,182,334,2059
2,2601,56,180,111,0.0,573.0,02,03,65,243,429,2254
1,2601,104,220,355,0.0,525.0,02,04,34,212,171,1922
0,2601,278,181,34,0.0,330.0,02,05,65,239,91,2108
1,2601,383,143,417,0.0,550.0,02,11,96,83,56,1658
0,2601,389,156,93,0.0,598.0,02,12,65,32,192,1963
3,2601,87,204,482,0.0,672.0,02,15,65,280,143,1828
4,2601,72,236,526,0.0,523.0,02,16,65,67,267,1767
2,2601,78,250,23,0.0,588.0,02,17,43,83,239,2250
1,2601,77,254,367,0.0,489.0,02,18,65,166,173,1903
0,2601,145,252,69,0.0,597.0,02,19,65,149,63,2135
3,2601,90,207,434,0.0,645.0,02,22,65,206,153,1870
4,2601,57,237,488,0.0,610.0,02,23,65,256,413,1819
2,2601,54,232,14,0.0,514.0,02,24,65,193,166,2301
1,2601,56,261,335,0.0,531.0,02,25,8,225,53,1949
0,2601,144,278,42,0.0,585.0,02,26,65,54,223,2137
3,2601,595,168,110,0.0,344.0,02,29,65,124,75,1728
2,2624,127,182,261,0.0,631.0,03,02,65,67,203,2054
1,2624,61,224,351,0.0,473.0,03,03,32,212,154,1988
0,2624,83,247,79,0.0,673.0,03,04,65,198,197,2215
3,2624,50,195,456,0.0,625.0,03,07,65,58,124,1923
4,2624,47,212,426,0.0,609.0,03,08,105,2,270,1939
2,2624,43,225,0,0.0,523.0,03,09,65,223,245,2356
1,2624,55,245,290,0.0,525.0,03,10,41,233,24,2034
0,2624,108,275,76,0.0,591.0,03,11,65,191,383,2165
3,2624,61,183,376,0.0,586.0,03,14,65,53,10,2004
4,2624,38,231,399,0.0,545.0,03,15,90,11,361,1956
2,2624,50,213,0,0.0,531.0,03,16,65,140,425,2361
1,2624,52,242,327,0.0,548.0,03,17,111,181,194,2003
0,2624,118,277,57,0.0,521.0,03,18,65,55,339,2172
3,2624,65,205,329,0.0,605.0,03,21,65,162,297,2025
4,2624,41,208,378,0.0,585.0,03,22,6,2,362,1997
2,2624,42,236,0,0.0,544.0,03,23,65,179,135,2346
1,2624,53,251,293,0.0,507.0,03,24,96,116,56,2027
0,2624,98,275,59,0.0,523.0,03,25,65,48,82,2192
3,2624,77,197,299,0.0,637.0,03,28,65,256,334,2051
4,2624,52,245,259,0.0,465.0,03,29,120,219,130,2068
2,2624,48,230,0,0.0,463.0,03,30,65,182,143,2346
1,2624,36,248,158,0.0,526.0,03,31,85,225,155,2182
0,2643,103,254,47,0.0,591.0,04,01,65,159,286,2239
3,2643,62,221,367,0.0,614.0,04,04,65,67,41,1993
4,2643,31,242,370,0.0,555.0,04,05,12,2,22,2000
2,2643,37,249,0,0.0,492.0,04,06,65,93,359,2357
1,2643,47,258,339,0.0,524.0,04,07,8,212,302,1999
0,2643,87,283,64,0.0,542.0,04,08,65,198,192,2209
3,2643,82,203,392,0.0,536.0,04,11,65,158,4,1966
4,2643,76,225,239,0.0,500.0,04,12,104,220,154,2103
1,2643,106,252,326,0.0,562.0,04,14,48,263,239,1959
0,2643,131,281,82,0.0,582.0,04,15,65,72,271,2149
3,2643,81,225,330,0.0,525.0,04,18,65,40,334,2007
4,2643,44,239,387,0.0,449.0,04,19,23,219,233,1973
2,2643,47,262,0,0.0,504.0,04,20,65,182,98,2334
1,2643,66,264,312,0.0,531.0,04,21,73,262,416,2001
0,2643,150,275,86,0.0,557.0,04,22,65,166,397,2132
3,2643,96,201,281,0.0,528.0,04,25,65,179,286,2065
4,2643,51,227,304,0.0,568.0,04,26,87,83,266,2061
2,2643,71,234,0,0.0,490.0,04,27,65,243,383,2338
1,2643,56,269,196,0.0,508.0,04,28,95,137,7,2122
0,2643,139,282,28,0.0,507.0,04,29,65,74,46,2194
3,2635,80,214,302,0.0,551.0,05,02,65,132,47,2039
4,2635,65,251,292,0.0,515.0,05,03,65,130,398,2027
2,2635,150,244,0,0.0,636.0,05,04,105,116,277,2241
3,2635,101,233,344,0.0,591.0,05,09,65,54,6,1957
4,2635,53,252,350,0.0,519.0,05,10,13,1,362,1980
2,2635,60,266,0,0.0,423.0,05,11,65,256,419,2309
1,2635,71,274,315,0.0,532.0,05,12,27,225,171,1975
0,2635,185,268,80,0.0,517.0,05,13,65,158,382,2102
3,2635,99,216,368,0.0,594.0,05,16,65,55,351,1952
4,2635,41,254,377,0.0,633.0,05,17,76,212,154,1963
2,2635,71,257,0,0.0,456.0,05,18,65,140,429,2307
1,2635,65,266,264,0.0,529.0,05,19,54,264,219,2040
0,2635,169,287,56,0.0,487.0,05,20,65,223,76,2123
3,2635,88,203,362,0.0,613.0,05,23,65,162,106,1982
4,2635,74,234,310,0.0,465.0,05,24,96,83,34,2017
2,2635,72,258,0,0.0,454.0,05,25,65,67,143,2305
1,2635,64,285,227,0.0,520.0,05,26,91,11,366,2059
0,2635,163,291,61,0.0,493.0,05,27,65,40,132,2120
3,2635,73,215,291,0.0,631.0,05,30,65,271,193,2056
4,2635,50,250,185,0.0,535.0,05,31,95,175,270,2150
2,2637,75,245,0,0.0,490.0,06,01,65,182,47,2317
1,2637,81,258,301,0.0,483.0,06,02,25,219,46,1997
0,2637,191,268,64,0.0,548.0,06,03,65,172,273,2114
4,2637,115,192,389,0.0,629.0,06,07,109,2,198,1941
2,2637,58,240,0,0.0,500.0,06,08,65,223,340,2339
1,2637,69,252,359,0.0,506.0,06,09,103,194,319,1957
0,2637,151,270,61,0.0,509.0,06,10,65,182,203,2155
3,2637,98,209,415,0.0,590.0,06,13,65,74,225,1915
4,2637,56,241,432,0.0,593.0,06,14,73,116,433,1908
2,2637,60,260,0,0.0,535.0,06,15,65,54,425,2317
1,2637,73,263,336,0.0,524.0,06,16,76,46,378,1965
0,2637,165,291,60,0.0,484.0,06,17,65,154,334,2121
3,2637,101,257,344,0.0,585.0,06,20,65,277,267,1935
4,2637,49,248,349,0.0,645.0,06,21,9,136,388,1991
2,2637,47,258,0,0.0,467.0,06,22,65,55,362,2332
1,2637,53,271,346,0.0,588.0,06,23,80,260,305,1967
0,2637,169,284,52,0.0,475.0,06,24,65,166,419,2132
3,2637,96,227,300,0.0,609.0,06,27,65,31,174,2014
4,2637,63,253,226,0.0,535.0,06,28,45,10,396,2095
2,2637,67,248,0,0.0,487.0,06,29,65,243,297,2322
1,2637,76,247,151,0.0,446.0,06,30,85,25,20,2163
0,2643,145,215,41,0.0,513.0,07,01,65,238,66,2242
3,2643,88,190,385,0.0,582.0,07,04,65,193,98,1980
4,2643,55,226,376,0.0,551.0,07,05,6,83,397,1986
2,2643,56,224,0,0.0,484.0,07,06,65,170,320,2363
1,2643,64,238,340,0.0,494.0,07,07,65,265,85,2001
0,2643,155,260,60,0.0,534.0,07,08,65,179,46,2168
3,2643,121,210,366,0.0,630.0,07,11,65,128,6,1946
4,2643,72,223,382,0.0,519.0,07,12,41,175,281,1966
2,2643,79,241,0,0.0,483.0,07,13,65,160,429,2323
1,2643,84,252,308,0.0,550.0,07,14,32,108,51,1999
0,2643,189,261,55,0.0,503.0,07,15,65,198,264,2138
3,2643,126,208,343,0.0,596.0,07,18,65,49,42,1966
4,2643,111,233,263,0.0,424.0,07,19,108,83,81,2036
2,2643,124,238,0,0.0,443.0,07,20,65,64,377,2281
1,2643,115,255,263,0.0,446.0,07,21,43,11,334,2010
0,2643,251,272,47,0.0,501.0,07,22,65,62,66,2073
3,2643,277,180,247,0.0,584.0,07,25,65,251,110,1939
4,2643,260,185,269,0.0,582.0,07,26,103,225,319,1929
2,2643,299,192,0,0.0,423.0,07,27,65,182,98,2152
1,2643,340,204,197,0.0,434.0,07,28,106,83,283,1902
0,2643,486,207,36,0.0,472.0,07,29,65,178,148,1914
3,2644,512,109,238,0.0,510.0,08,01,65,253,259,1785
4,2644,460,167,268,0.0,515.0,08,02,65,235,174,1749
2,2644,485,183,0,0.0,363.0,08,03,85,46,258,1976
1,2644,467,200,262,0.0,456.0,08,04,73,2,154,1715
0,2644,538,212,46,0.0,448.0,08,05,65,158,357,1848
3,2644,421,180,255,0.0,480.0,08,08,65,132,359,1788
4,2644,392,182,286,0.0,470.0,08,09,79,252,171,1784
2,2644,411,188,0,0.0,451.0,08,10,65,54,425,2045
1,2644,413,202,295,0.0,530.0,08,11,41,167,376,1734
0,2644,587,215,60,0.0,410.0,08,12,65,31,226,1782
4,2644,352,177,351,0.0,561.0,08,16,10,116,51,1764
2,2644,311,191,0,0.0,465.0,08,17,65,256,124,2142
1,2644,274,215,364,0.0,574.0,08,18,76,30,329,1791
0,2644,345,237,59,0.0,532.0,08,19,65,67,431,2003
3,2644,115,159,458,0.0,729.0,08,22,65,105,129,1912
4,2644,86,211,386,0.0,563.0,08,23,12,219,427,1961
2,2644,113,209,0,0.0,588.0,08,24,65,4,143,2322
1,2644,123,241,308,0.0,508.0,08,25,107,224,365,1972
0,2644,194,269,70,0.0,489.0,08,26,65,255,351,2111
3,2644,132,202,352,0.0,568.0,08,29,65,239,91,1958
4,2644,96,242,268,0.0,514.0,08,30,7,83,270,2038
2,2644,98,236,0,0.0,498.0,08,31,65,243,67,2310
1,2769,99,250,336,0.0,468.0,09,01,95,80,34,2084
0,2769,177,279,76,0.0,460.0,09,02,65,179,131,2237
3,2769,100,225,447,0.0,554.0,09,05,65,182,346,1997
4,2769,59,253,477,0.0,560.0,09,06,45,219,171,1980
2,2769,65,241,0,0.0,504.0,09,07,65,186,101,2463
1,2769,69,255,438,0.0,548.0,09,08,8,225,237,2007
0,2769,137,288,86,0.0,485.0,09,09,65,159,340,2258
3,2769,328,176,306,0.0,504.0,09,12,41,175,194,1959
4,2769,511,108,52,0.0,238.0,09,13,65,240,351,2098
3,2769,167,180,550,0.0,662.0,09,19,65,162,399,1872
4,2769,69,227,588,0.0,627.0,09,20,108,83,343,1885
2,2769,58,246,0,0.0,603.0,09,21,65,15,260,2465
1,2769,137,253,403,0.0,533.0,09,22,76,35,177,1976
0,2769,165,278,99,0.0,562.0,09,23,65,253,273,2227
3,2769,70,224,494,0.0,710.0,09,26,65,106,16,1981
4,2769,56,233,380,0.0,550.0,09,27,60,116,397,2100
2,2769,50,225,0,0.0,591.0,09,28,65,230,191,2494
1,2769,153,227,331,0.0,622.0,09,29,103,225,319,2058
0,2769,158,256,59,0.0,539.0,09,30,65,18,119,2296
