day,numbers,dayoff,work,outsidework,workfhome,lunch_t,Month,Date,bob,soup,main,present
3,2601,50,150,238,0.0,1039.0,02,01,22,189,236,2163
4,2601,50,173,319,0.0,867.0,02,02,22,28,8,2059
2,2601,56,180,111,0.0,1017.0,02,03,49,249,334,2254
1,2601,104,220,355,0.0,978.0,02,04,22,149,309,1922
0,2601,278,181,34,0.0,925.0,02,05,22,75,106,2108
1,2601,383,143,417,0.0,1045.0,02,11,22,161,384,1658
0,2601,389,156,93,0.0,909.0,02,12,22,36,98,1963
3,2601,87,204,482,0.0,1268.0,02,15,22,159,69,1828
4,2601,72,236,526,0.0,1014.0,02,16,22,149,354,1767
2,2601,78,250,23,0.0,916.0,02,17,22,41,235,2250
1,2601,77,254,367,0.0,910.0,02,18,15,208,29,1903
0,2601,145,252,69,0.0,763.0,02,19,22,52,132,2135
3,2601,90,207,434,0.0,1298.0,02,22,22,146,19,1870
4,2601,57,237,488,0.0,899.0,02,23,22,235,93,1819
2,2601,54,232,14,0.0,1022.0,02,24,29,249,226,2301
1,2601,56,261,335,0.0,917.0,02,25,22,120,68,1949
0,2601,144,278,42,0.0,766.0,02,26,22,154,283,2137
3,2601,595,168,110,0.0,869.0,02,29,22,175,305,1728
2,2624,127,182,261,0.0,1127.0,03,02,22,151,309,2054
1,2624,61,224,351,0.0,1000.0,03,03,22,24,355,1988
0,2624,83,247,79,0.0,837.0,03,04,22,118,8,2215
3,2624,50,195,456,0.0,1326.0,03,07,22,235,68,1923
4,2624,47,212,426,0.0,1026.0,03,08,22,226,36,1939
2,2624,43,225,0,0.0,901.0,03,09,22,121,107,2356
1,2624,55,245,290,0.0,847.0,03,10,22,18,74,2034
0,2624,108,275,76,0.0,728.0,03,11,22,110,242,2165
3,2624,61,183,376,0.0,1286.0,03,14,22,171,96,2004
4,2624,38,231,399,0.0,958.0,03,15,22,165,225,1956
2,2624,50,213,0,0.0,998.0,03,16,4,236,166,2361
1,2624,52,242,327,0.0,832.0,03,17,22,129,354,2003
0,2624,118,277,57,0.0,757.0,03,18,22,159,384,2172
3,2624,65,205,329,0.0,1030.0,03,21,22,36,175,2025
4,2624,41,208,378,0.0,917.0,03,22,22,152,343,1997
2,2624,42,236,0,0.0,963.0,03,23,52,78,331,2346
1,2624,53,251,293,0.0,876.0,03,24,22,120,235,2027
0,2624,98,275,59,0.0,861.0,03,25,22,48,299,2192
3,2624,77,197,299,0.0,1193.0,03,28,22,175,68,2051
4,2624,52,245,259,0.0,892.0,03,29,22,193,309,2068
2,2624,48,230,0,0.0,1033.0,03,30,26,223,288,2346
1,2624,36,248,158,0.0,781.0,03,31,22,89,98,2182
0,2643,103,254,47,0.0,661.0,04,01,22,114,21,2239
3,2643,62,221,367,0.0,1237.0,04,04,22,157,236,1993
4,2643,31,242,370,0.0,840.0,04,05,22,121,285,2000
2,2643,37,249,0,0.0,876.0,04,06,22,191,305,2357
1,2643,47,258,339,0.0,853.0,04,07,22,171,139,1999
0,2643,87,283,64,0.0,764.0,04,08,22,110,253,2209
3,2643,82,203,392,0.0,1225.0,04,11,22,161,384,1966
4,2643,76,225,239,0.0,771.0,04,12,22,118,228,2103
1,2643,106,252,326,0.0,969.0,04,14,22,154,98,1959
0,2643,131,281,82,0.0,579.0,04,15,22,42,74,2149
3,2643,81,225,330,0.0,1120.0,04,18,22,110,95,2007
4,2643,44,239,387,0.0,980.0,04,19,22,211,59,1973
2,2643,47,262,0,0.0,849.0,04,20,51,24,147,2334
1,2643,66,264,312,0.0,940.0,04,21,22,50,232,2001
0,2643,150,275,86,0.0,698.0,04,22,22,121,123,2132
3,2643,96,201,281,0.0,1227.0,04,25,22,235,87,2065
