day,numbers,dayoff,work,outsidework,workfhome,lunch_t,dinner_t,Month,Date,bob,soup,main,bobd,soupd,maind,present
3,2601,50,150,238,0.0,1039.0,331.0,02,01,22,189,236,66,224,341,2163
4,2601,50,173,319,0.0,867.0,560.0,02,02,22,28,8,110,183,335,2059
2,2601,56,180,111,0.0,1017.0,573.0,02,03,49,249,334,66,244,430,2254
1,2601,104,220,355,0.0,978.0,525.0,02,04,22,149,309,35,213,172,1922
0,2601,278,181,34,0.0,925.0,330.0,02,05,22,75,106,66,240,92,2108
1,2601,383,143,417,0.0,1045.0,550.0,02,11,22,161,384,97,84,57,1658
0,2601,389,156,93,0.0,909.0,598.0,02,12,22,36,98,66,33,193,1963
3,2601,87,204,482,0.0,1268.0,672.0,02,15,22,159,69,66,281,144,1828
4,2601,72,236,526,0.0,1014.0,523.0,02,16,22,149,354,66,68,268,1767
2,2601,78,250,23,0.0,916.0,588.0,02,17,22,41,235,44,84,240,2250
1,2601,77,254,367,0.0,910.0,489.0,02,18,15,208,29,66,167,174,1903
0,2601,145,252,69,0.0,763.0,597.0,02,19,22,52,132,66,150,64,2135
3,2601,90,207,434,0.0,1298.0,645.0,02,22,22,146,19,66,207,154,1870
4,2601,57,237,488,0.0,899.0,610.0,02,23,22,235,93,66,257,414,1819
2,2601,54,232,14,0.0,1022.0,514.0,02,24,29,249,226,66,194,167,2301
1,2601,56,261,335,0.0,917.0,531.0,02,25,22,120,68,9,226,54,1949
0,2601,144,278,42,0.0,766.0,585.0,02,26,22,154,283,66,55,224,2137
3,2601,595,168,110,0.0,869.0,344.0,02,29,22,175,305,66,125,76,1728
2,2624,127,182,261,0.0,1127.0,631.0,03,02,22,151,309,66,68,204,2054
1,2624,61,224,351,0.0,1000.0,473.0,03,03,22,24,355,33,213,155,1988
0,2624,83,247,79,0.0,837.0,673.0,03,04,22,118,8,66,199,198,2215
3,2624,50,195,456,0.0,1326.0,625.0,03,07,22,235,68,66,59,125,1923
4,2624,47,212,426,0.0,1026.0,609.0,03,08,22,226,36,106,3,271,1939
2,2624,43,225,0,0.0,901.0,523.0,03,09,22,121,107,66,224,246,2356
1,2624,55,245,290,0.0,847.0,525.0,03,10,22,18,74,42,234,25,2034
0,2624,108,275,76,0.0,728.0,591.0,03,11,22,110,242,66,192,384,2165
3,2624,61,183,376,0.0,1286.0,586.0,03,14,22,171,96,66,54,11,2004
4,2624,38,231,399,0.0,958.0,545.0,03,15,22,165,225,91,12,362,1956
2,2624,50,213,0,0.0,998.0,531.0,03,16,4,236,166,66,141,426,2361
1,2624,52,242,327,0.0,832.0,548.0,03,17,22,129,354,112,182,195,2003
0,2624,118,277,57,0.0,757.0,521.0,03,18,22,159,384,66,56,340,2172
3,2624,65,205,329,0.0,1030.0,605.0,03,21,22,36,175,66,163,298,2025
4,2624,41,208,378,0.0,917.0,585.0,03,22,22,152,343,7,3,363,1997
2,2624,42,236,0,0.0,963.0,544.0,03,23,52,78,331,66,180,136,2346
1,2624,53,251,293,0.0,876.0,507.0,03,24,22,120,235,97,117,57,2027
0,2624,98,275,59,0.0,861.0,523.0,03,25,22,48,299,66,49,83,2192
3,2624,77,197,299,0.0,1193.0,637.0,03,28,22,175,68,66,257,335,2051
4,2624,52,245,259,0.0,892.0,465.0,03,29,22,193,309,121,220,131,2068
2,2624,48,230,0,0.0,1033.0,463.0,03,30,26,223,288,66,183,144,2346
1,2624,36,248,158,0.0,781.0,526.0,03,31,22,89,98,86,226,156,2182
0,2643,103,254,47,0.0,661.0,591.0,04,01,22,114,21,66,160,287,2239
3,2643,62,221,367,0.0,1237.0,614.0,04,04,22,157,236,66,68,42,1993
4,2643,31,242,370,0.0,840.0,555.0,04,05,22,121,285,13,3,23,2000
2,2643,37,249,0,0.0,876.0,492.0,04,06,22,191,305,66,94,360,2357
1,2643,47,258,339,0.0,853.0,524.0,04,07,22,171,139,9,213,303,1999
0,2643,87,283,64,0.0,764.0,542.0,04,08,22,110,253,66,199,193,2209
3,2643,82,203,392,0.0,1225.0,536.0,04,11,22,161,384,66,159,5,1966
4,2643,76,225,239,0.0,771.0,500.0,04,12,22,118,228,105,221,155,2103
1,2643,106,252,326,0.0,969.0,562.0,04,14,22,154,98,49,264,240,1959
0,2643,131,281,82,0.0,579.0,582.0,04,15,22,42,74,66,73,272,2149
3,2643,81,225,330,0.0,1120.0,525.0,04,18,22,110,95,66,41,335,2007
4,2643,44,239,387,0.0,980.0,449.0,04,19,22,211,59,24,220,234,1973
2,2643,47,262,0,0.0,849.0,504.0,04,20,51,24,147,66,183,99,2334
1,2643,66,264,312,0.0,940.0,531.0,04,21,22,50,232,74,263,417,2001
0,2643,150,275,86,0.0,698.0,557.0,04,22,22,121,123,66,167,398,2132
3,2643,96,201,281,0.0,1227.0,528.0,04,25,22,235,87,66,180,287,2065
4,2643,51,227,304,0.0,795.0,568.0,04,26,22,149,309,88,84,267,2061
2,2643,71,234,0,0.0,1028.0,490.0,04,27,13,99,46,66,244,384,2338
1,2643,56,269,196,0.0,811.0,508.0,04,28,22,100,264,96,138,8,2122
0,2643,139,282,28,0.0,652.0,507.0,04,29,22,58,168,66,75,47,2194
3,2635,80,214,302,0.0,1242.0,551.0,05,02,22,159,68,66,133,48,2039
4,2635,65,251,292,0.0,964.0,515.0,05,03,4,92,156,66,131,399,2027
2,2635,150,244,0,0.0,723.0,636.0,05,04,22,152,283,106,117,278,2241
3,2635,101,233,344,0.0,1216.0,591.0,05,09,22,88,384,66,55,7,1957
4,2635,53,252,350,0.0,1008.0,519.0,05,10,22,235,175,14,2,363,1980
2,2635,60,266,0,0.0,915.0,423.0,05,11,17,162,108,66,257,420,2309
1,2635,71,274,315,0.0,753.0,532.0,05,12,22,188,318,28,226,172,1975
0,2635,185,268,80,0.0,761.0,517.0,05,13,22,64,139,66,159,383,2102
3,2635,99,216,368,0.0,1180.0,594.0,05,16,22,5,98,66,56,352,1952
4,2635,41,254,377,0.0,899.0,633.0,05,17,22,71,36,77,213,155,1963
2,2635,71,257,0,0.0,856.0,456.0,05,18,31,99,334,66,141,430,2307
1,2635,65,266,264,0.0,898.0,529.0,05,19,22,180,166,55,265,220,2040
0,2635,169,287,56,0.0,653.0,487.0,05,20,22,157,80,66,224,77,2123
3,2635,88,203,362,0.0,1160.0,613.0,05,23,22,123,233,66,163,107,1982
4,2635,74,234,310,0.0,1107.0,465.0,05,24,22,250,53,97,84,35,2017
2,2635,72,258,0,0.0,938.0,454.0,05,25,14,104,354,66,68,144,2305
1,2635,64,285,227,0.0,783.0,520.0,05,26,22,153,19,92,12,367,2059
0,2635,163,291,61,0.0,660.0,493.0,05,27,22,110,79,66,41,133,2120
3,2635,73,215,291,0.0,1231.0,631.0,05,30,22,236,65,66,272,194,2056
4,2635,50,250,185,0.0,921.0,535.0,05,31,22,24,68,96,176,271,2150
2,2637,75,245,0,0.0,916.0,490.0,06,01,41,9,288,66,183,48,2317
1,2637,81,258,301,0.0,850.0,483.0,06,02,22,185,156,26,220,47,1997
0,2637,191,268,64,0.0,721.0,548.0,06,03,22,226,318,66,173,274,2114
4,2637,115,192,389,0.0,1244.0,629.0,06,07,22,120,98,110,3,199,1941
2,2637,58,240,0,0.0,931.0,500.0,06,08,22,227,251,66,224,341,2339
1,2637,69,252,359,0.0,829.0,506.0,06,09,22,89,117,104,195,320,1957
0,2637,151,270,61,0.0,697.0,509.0,06,10,22,64,283,66,183,204,2155
3,2637,98,209,415,0.0,1243.0,590.0,06,13,22,123,305,66,75,226,1915
4,2637,56,241,432,0.0,973.0,593.0,06,14,22,110,79,74,117,434,1908
2,2637,60,260,0,0.0,984.0,535.0,06,15,49,78,127,66,55,426,2317
1,2637,73,263,336,0.0,800.0,524.0,06,16,22,118,5,77,47,379,1965
0,2637,165,291,60,0.0,694.0,484.0,06,17,22,36,95,66,155,335,2121
3,2637,101,257,344,0.0,1146.0,585.0,06,20,22,171,130,66,278,268,1935
4,2637,49,248,349,0.0,1091.0,645.0,06,21,22,52,12,10,137,389,1991
2,2637,47,258,0,0.0,1022.0,467.0,06,22,22,161,91,66,56,363,2332
1,2637,53,271,346,0.0,877.0,588.0,06,23,22,149,145,81,261,306,1967
0,2637,169,284,52,0.0,805.0,475.0,06,24,22,56,160,66,167,420,2132
3,2637,96,227,300,0.0,1142.0,609.0,06,27,22,110,384,66,32,175,2014
4,2637,63,253,226,0.0,917.0,535.0,06,28,22,211,34,46,11,397,2095
